"","abortion","state","eth","male","age","educ","party"
"1",1,"MD","Other",-0.5,"50-59","Some college","Independent"
"2",1,"TN","White",-0.5,"40-49","HS","Republican"
"3",1,"OH","White",-0.5,"60-69","Some college","Republican"
"4",0,"CA","Other",-0.5,"70+","Post-grad","Independent"
"5",1,"KY","White",-0.5,"40-49","HS","Democrat"
"6",0,"AZ","White",-0.5,"18-29","No HS","Independent"
"7",0,"HI","White",-0.5,"40-49","HS","Independent"
"8",1,"AZ","White",-0.5,"50-59","Some college","Democrat"
"9",1,"AL","White",0.5,"40-49","Some college","Republican"
"10",1,"GA","Black",-0.5,"18-29","Some college","Independent"
"11",1,"CA","Hispanic",0.5,"50-59","No HS","Independent"
"12",1,"TN","White",-0.5,"30-39","No HS","Independent"
"13",1,"HI","Other",-0.5,"30-39","No HS","Independent"
"14",1,"OH","White",-0.5,"30-39","Post-grad","Republican"
"15",0,"CA","Hispanic",-0.5,"18-29","HS","Independent"
"16",0,"NC","White",-0.5,"40-49","Some college","Democrat"
"17",0,"CA","Other",-0.5,"18-29","HS","Independent"
"18",0,"OH","White",-0.5,"18-29","No HS","Independent"
"19",0,"PA","White",-0.5,"30-39","HS","Democrat"
"20",1,"OH","White",-0.5,"18-29","No HS","Republican"
"21",0,"NY","White",0.5,"18-29","4-Year College","Democrat"
"22",0,"TN","White",-0.5,"40-49","HS","Democrat"
"23",0,"PA","White",0.5,"40-49","HS","Republican"
"24",0,"AZ","White",-0.5,"50-59","Post-grad","Republican"
"25",0,"NY","White",0.5,"30-39","Some college","Democrat"
"26",1,"IN","Other",0.5,"50-59","Some college","Independent"
"27",0,"NY","Black",-0.5,"50-59","HS","Independent"
"28",1,"MI","White",-0.5,"50-59","4-Year College","Republican"
"29",0,"AR","White",0.5,"30-39","Some college","Republican"
"30",1,"CT","White",-0.5,"70+","HS","Democrat"
"31",1,"KS","Other",-0.5,"30-39","HS","Independent"
"32",1,"MO","White",-0.5,"30-39","No HS","Independent"
"33",0,"NH","Other",-0.5,"30-39","HS","Democrat"
"34",0,"FL","White",-0.5,"18-29","4-Year College","Democrat"
"35",0,"CA","White",0.5,"50-59","Post-grad","Democrat"
"36",0,"TX","Hispanic",0.5,"40-49","HS","Republican"
"37",1,"VA","White",-0.5,"30-39","HS","Republican"
"38",0,"PA","White",-0.5,"30-39","HS","Independent"
"39",1,"LA","Black",-0.5,"60-69","Some college","Democrat"
"40",0,"CA","White",-0.5,"50-59","Post-grad","Democrat"
"41",1,"MI","White",0.5,"60-69","Post-grad","Independent"
"42",1,"CA","White",-0.5,"50-59","Post-grad","Republican"
"43",0,"WA","White",-0.5,"60-69","Some college","Independent"
"44",0,"NC","Black",-0.5,"60-69","4-Year College","Democrat"
"45",1,"TX","White",-0.5,"30-39","Some college","Republican"
"46",0,"WI","Hispanic",0.5,"50-59","Some college","Independent"
"47",1,"NC","Black",-0.5,"60-69","Some college","Democrat"
"48",1,"WA","White",-0.5,"40-49","Some college","Republican"
"49",0,"CA","Other",-0.5,"18-29","Some college","Independent"
"50",1,"MI","White",0.5,"60-69","4-Year College","Republican"
"51",1,"MO","Hispanic",-0.5,"18-29","Some college","Independent"
"52",0,"WV","White",-0.5,"40-49","4-Year College","Independent"
"53",0,"CO","White",-0.5,"40-49","Some college","Independent"
"54",0,"NJ","Black",-0.5,"60-69","Post-grad","Democrat"
"55",0,"OK","White",-0.5,"50-59","Post-grad","Republican"
"56",0,"CA","White",-0.5,"40-49","4-Year College","Democrat"
"57",0,"WA","White",-0.5,"60-69","Some college","Independent"
"58",0,"WI","White",-0.5,"50-59","No HS","Independent"
"59",0,"WA","White",-0.5,"70+","4-Year College","Democrat"
"60",0,"AZ","White",-0.5,"60-69","Post-grad","Democrat"
"61",1,"CA","White",0.5,"60-69","4-Year College","Republican"
"62",0,"NV","White",-0.5,"70+","HS","Democrat"
"63",0,"NY","White",-0.5,"30-39","Some college","Democrat"
"64",1,"VA","White",0.5,"30-39","Some college","Independent"
"65",1,"TX","White",0.5,"60-69","4-Year College","Republican"
"66",1,"WA","White",-0.5,"50-59","Post-grad","Republican"
"67",0,"OR","Other",-0.5,"18-29","Post-grad","Independent"
"68",1,"MI","White",-0.5,"60-69","HS","Republican"
"69",1,"FL","White",-0.5,"30-39","Post-grad","Republican"
"70",1,"VA","Black",-0.5,"50-59","Post-grad","Independent"
"71",0,"WA","White",0.5,"60-69","Some college","Independent"
"72",1,"IL","White",-0.5,"60-69","4-Year College","Republican"
"73",0,"GA","White",-0.5,"60-69","Some college","Democrat"
"74",0,"PA","White",-0.5,"50-59","Post-grad","Independent"
